case_name,reference_count,unique_domain_count,reference_domains,attack_tx_hash_count,has_attack_tx_hash,incident_record_sha256
kashi,2,2,eigenphi.substack.com|twitter.com,0,False,b77c60f150c5c25dd906c2a9903f85b1fafd528d087091821a1d60cdca30cde7
mbc_zzsh,2,1,twitter.com,0,False,a80a6cc927c627a9050079687a39fd6a54d9ea5e91c06e0f04c64bc526927f7a
brahtopg,1,1,twitter.com,0,False,064f316b99b0a1f98a34984d48a489c4eb79f0faa95bfe06d70834fea54d5b84
num,1,1,twitter.com,0,False,aeb636da37cd692bf6edbc12347f76d2dcc41adfe17e68a668154e54ecaa6626
sdao,2,1,twitter.com,0,False,1a06914e310c71e938fe55a12bbae8cc4f3c4d41c7aba4319bef418e1d845a67
dfx,4,1,twitter.com,0,False,0a764876626e11ef7fe89899ac826a198d0f8da9dd76a0a5e1b008a2ec10c3e3
moocakectx,2,1,twitter.com,0,False,3af7845d9257437b50e85a2bc7125fe16b6e1bdd14a128ac6dd573a8c7326a75
sheepfarm2,2,1,twitter.com,0,False,d355bf4da91ccdca71ac0b806670a9370d6a0f42380c325a563cb042fcc58b1a
seaman,3,1,twitter.com,0,False,f1ca2231b820f53779c10bab341395bdc803710af2dfadecf2ae35f41b5c3af3
aes,2,1,twitter.com,0,False,d1c52ab22c1564e57e2b978ad5f398c573eae65f516da2002000fc89aa65dca8
sheepfarm,2,1,twitter.com,0,False,d355bf4da91ccdca71ac0b806670a9370d6a0f42380c325a563cb042fcc58b1a
uearnpool,1,1,twitter.com,0,False,59ef8f9e7fdcb10ddc15b1131e38f7cb854372e605a7e49b8de66d2a4821436e
jay,1,1,twitter.com,0,False,db1386515f5590d05f7541d5408962e432cf7a36b642148c7d48db338e720977
dfs,1,1,twitter.com,0,False,e765f32ba2f1e0a49a1197f2d14f219e54cc1ed2553a8e4fcb4837bb18023780
bgld,1,1,twitter.com,0,False,b4331ab675cd1aeda7e8523c81fb680ad14fb0ca68b8ac43567239d25d99bd1a
rubic,2,1,twitter.com,0,False,da04e68c0f4514a328d8599802a7ac32ff9f8f776a7cd9d7234b41de7ff62a3c
tifi,1,1,twitter.com,0,False,7f82c3b22f877b29e73579743e56feb968524e2feba88c81bc4782f118d40a27
qixi,1,1,x.com,0,False,ecb01762f527766c39fe2d3f5372891ed460cf2be0f313effdfc71c9a565b929
xcarnival,3,1,twitter.com,0,False,88bf3e75a8bcebe33c14479d0616c9df90bd72e57b5190dbd7b85c8d5de477d1
novo,3,2,bscscan.com|panewslab.com,1,True,80dbdee6522539fe7f9968d8aa1115f0501afebf84304c7d09a8cf60a4c01058
xst,1,1,mobile.twitter.com,0,False,ac980aa50936e743b521836e95229deb5e03a037f3e51a56bce508ae29842a7c
bbox,1,1,twitter.com,0,False,d515ed7adc9406e1fd4d2bb26fb010dcff10f5685bb1cbea64f5dc803bec1159
nmbplatform,1,1,twitter.com,0,False,37a693062e1c454bcdd647800fb3848ffca994e2e26dfb9c04d914e0e7986a0d
rfb,1,1,twitter.com,0,False,4c22db30e2907b87781834b816f73a5451ddbd78318b377367142737299a5f35
shoco,1,1,github.com,0,False,78592a7b3034c3c46902ecbef7e8880793d53f634d01dfcc4cb88973dcb92bae
qtn,1,1,twitter.com,0,False,97f79379800de58b011883fb2a3b22ada9dfc6c648e72c2674a80e4344a5ddd0
tinu,1,1,twitter.com,0,False,209b2350caa38b1ece628269e73da01c91e2584a7ea39cb8661f67cf821f0ca4
bra,2,1,twitter.com,0,False,28c23d8c63daac50bc2d88fdd2e6da928eaad2ae14e15e393342b2bd7f5bdb60
bevo,1,1,twitter.com,0,False,466f574ba0b6138ad285df179e8ef8e1f47132c03f6f4cec1ce0c17360bb607a
omniestate,1,1,twitter.com,0,False,339c1cb46cb4b8dba4a69aabf4bd3ddcdf16695bb4c9db2873ed5067910fd5c3
gds,2,1,twitter.com,0,False,f133bcf77115517e92a74eaa4862856160367c7dfa6ab0ce717703333d38ca93
ufdao,1,1,twitter.com,0,False,3f87a9969fbd9c3a46a8b56de964bbd87d555974a9361bf27e54e156e94b6108
upswing,2,2,etherscan.io|twitter.com,1,True,096a64991a7d2fc68aa16318ed16cec6cc60de825fa4e6de92de2b3425e4e1b3
roefinance,1,1,twitter.com,0,False,4038cc16dc764000e5540fd5f01aa745903eea938e4ed3a99a5455622162b49e
efvault,3,1,twitter.com,0,False,68edecb51d2fa2593e02e14f18e96fd9ea8769ae3611be1d4dabd888b636bd01
fdp,1,1,twitter.com,0,False,3d906384ee936746d672dbfc3cad07972bb1e7119141ce312010671cf7c85581
dexible,2,1,twitter.com,0,False,4e6fd15f0c9f1255cfe205eaee2b040e69c0dac862c7bf768fe3fdc53312a057
dyna,2,1,twitter.com,0,False,0606d32d977bdc3f23dd05023c118ba7841cf5fb14bdec135b2b1d42c7952174
revertfinance,1,1,mirror.xyz,0,False,207d11063b53884c885c89aa548be4521d5744a7ac420e813021f072bcdb0eee
starlink,2,1,twitter.com,0,False,ce989f1533e653d024b528cbd95da156c293d2c4a813e73814fb2ef1e94b91a7
bigfi,1,1,twitter.com,0,False,220300e58292c3d55d564b0788ae83fbcd7bb1b362e8625a43291b6ae713ac6e
sheep,2,1,twitter.com,0,False,1da2b0d5408a2ec990fa02df710580cd89676723591b068165339ad3e21faa13
orion,3,2,numencyber.com|twitter.com,0,False,230018610c21d80d51f87ee5b73442005156617f01ca4fe6120bf470660824b6
poolz,1,1,twitter.com,0,False,bda1ee287e1e98d03ba4f9d84d1de72a3bfe16cc8fcf2398cfbb174bc4ca86d1
allbridge,2,1,twitter.com,0,False,9e6ba73f3f619cf65fc515389a80b649a51aa891855bd02aaed3938aad6973b1
dbw,2,1,twitter.com,0,False,2d5fb42b8fb902aed9674385117e519fbbd3c9e74f81b581634bf8b73703dc1b
axioma,1,1,twitter.com,0,False,d1f57ab5d65e3870792251bb781cb24374339cd2c271c583bcb8d369468509d7
olife,1,1,twitter.com,0,False,f45cb26ca206b4bde90938dde044e118066e680daef86e0ce52ad3c62684d22a
sushi_router,3,1,twitter.com,0,False,2f68d6a8ba91da88a2370a929db3676986a4819479ce27ecc2a31c56dd5f51aa
safemoon,1,1,twitter.com,0,False,2498c583ba177edc37f363e0b54f95dce073d9cbc59359a1f1664f38071aecf5
swapos,2,1,twitter.com,0,False,e94fd586bd17e469d11f7ab540aff87a6383b37a90ab987fdfff7a54b73bf3fe
yearnfinance,2,1,twitter.com,0,False,37a56741b1b475a56725fe36565ad21976ef7d726b4c6ac3aa334aefa6aeadc9
babydogecoin,1,1,twitter.com,0,False,f2cbefc8b122988a0ecb2a48794d7f5e6ab5a2843115be4493c3a46a8a5dd383
silo_finance,1,1,medium.com,0,False,9b884914f8626d2d99687e9e3de2268d1534ccdf70eaa31fbe6f3d47de80a7ec
bitpaidio,1,1,twitter.com,0,False,4683251ff02b948ca7e6f187c76773c1ea70e778b8de50a96b27635c4b31ac62
fapen,1,1,twitter.com,0,False,9903575470e05debdc8af3e0a6b38af77a955c68a506a6080e6e2db71618b7c7
erc20tokenbank,1,1,twitter.com,0,False,cc25142537541b03e2a2cde009662c1a89939a7dc5ea5167e2596c16860eb0c3
cs,2,1,twitter.com,0,False,b1eac141e6770456816aef704a422069bc7c3d9376ce88023f987f73d9e03c31
hodlcapital,2,2,explorer.phalcon.xyz|x.com,1,True,be2766c06367f10ee7018421cb76febad2cd6cc091b52344bac9938ab3a02e15
melo,1,1,twitter.com,0,False,1dc21648b7180b94668622e40e723ddb45f816a0b4db31f80c03b8227679254a
lw,2,1,twitter.com,0,False,49b6cafe686b7ed303e5c8fde8dcbd7aad87ef4c64f05c35cfd6166a6ee469de
multichaincapital,1,1,twitter.com,0,False,e9c51537d22eb98fbcac694db0e01fbd86720b900728569d4afbb877e3ecd65a
level,2,1,twitter.com,0,False,a8fb16f1411330e130d3de965ab9566abad2bed4494b479d532b26982bf317cf
sellc02,1,1,twitter.com,0,False,559eb4960b432d4fa1392e4d65cda28a014cefe0e6886c640cfd27582f00dcd9
neverfall,1,1,twitter.com,0,False,24887d71d881e9b3355abe95a52ecaa0d0c74111a215a55236b2edc74bf19ec4
sellc,2,1,twitter.com,0,False,924f1e34730cb2111ed37a8a768a7ddea30ac55a29e91ab340aea3daee14fbcd
selltoken,1,1,twitter.com,0,False,6852a28aadb71748b01358c5c5ecddfedfacbfff88805eab506ad83398787569
snk,1,1,twitter.com,0,False,164582ee842565517c67f992eb087dbae90c1c25f531e9c0ccee407de7f74bf6
bunn,1,1,twitter.com,0,False,a1bf8e860d6d88279b97d92e86cc3dd50fada2f0a5420c604e4257c427ca6a6a
babydogecoin02,1,1,twitter.com,0,False,3274443c97c0b04665c742a6dc2e8931686164c4c17094d6d6ce92e4b318746f
compounderfinance,1,1,twitter.com,0,False,7b7f23fad9d05da732c442a167795dff9925e20fb9fd35a7e51ceee315284d01
cellframe,1,1,twitter.com,0,False,22ee8da702b8ec402db2753585e434341c06afac1d5137b85dd787333536c903
biswap,1,1,twitter.com,0,False,2dbbab18564e61d8aafe54c973def4ca29776e7066596137b180fb6ba04aaedd
ddcoin,2,1,twitter.com,0,False,f54389af142259a1d51bfe6d43dee6fc3e2630eb614f674bffa8e09b53d529d4
mimspell,1,1,twitter.com,0,False,5588b17b13b02b52ec1d5dc496ee8f513ab1a96a29e0aa08fef4e1f025460eba
myai,1,1,x.com,0,False,26ab177fd8aa6159d63dc2dcf177a33812dc1f463cddc89c7e193751bce4ab6c
pawnfi,1,1,blog.solidityscan.com,0,False,abd97bbc4468d7f191f15759d29ba60c3e6de6f4fe1b1321caa6f89e54871295
sellc03,1,1,twitter.com,0,False,839b537d4aa211c9efda4aff91e88a02372dac45f571e651571af2b7155e80f4
depusdt_levusdc,1,1,twitter.com,0,False,6a971e7ce95ebc37b0bcb21a660b18ac4e244428132e8656d35c7d71996b6aaf
shido_2,2,1,twitter.com,0,False,02f500349f984568ee26a4a76e055cc50cee94249fb6cd64987772f0187ecf20
un,1,1,twitter.com,0,False,5e59953a48ff30c9425ea46eecccba2a7b34bea95cb1c670419d299b8e284700
vinu,1,1,twitter.com,0,False,7333d38d149657163985aec162e91b923b8c2dc1908977b70fffc7501213525e
sturdy,3,2,sturdyfinance.medium.com|twitter.com,0,False,08c49ad305591fa542ed64d287a0e685ac6065855a132ac2e3fe4e641f762e94
bno,1,1,twitter.com,0,False,2d18e200f289b7d72ff413afe5f914eedde0485a4acf79e2c6764c2247ac413f
apedao,1,1,twitter.com,0,False,c99bb520e3259748253f1c1e9e009d9c6768476d9c079b38ca973243badbcfa8
bamboo,2,1,twitter.com,0,False,c71d97c2735917906643a53564faea9d5a5805ca719ba7903fd7d4fb38be65d1
conic02,2,2,medium.com|twitter.com,0,False,cf3764f4bf28c89963a6b607dff63415f068aa0793595862d68f9bbfefe5d86f
bao,1,1,twitter.com,0,False,cb83300719c4e75f585516f21ddcd63ac49f1639611a086e0b6c78ee3dd65350
conic,2,2,medium.com|twitter.com,0,False,92faf7fca921c724faa4765490b269435efa0f219fc65bf10a8a8a0df73679b0
conic_2,2,2,medium.com|twitter.com,0,False,92faf7fca921c724faa4765490b269435efa0f219fc65bf10a8a8a0df73679b0
gymnet,1,1,twitter.com,0,False,d83705236c566e6d4bc746c7d9ec9e70e95fba4e11fdc324176dbd03d9522540
ffist,2,1,twitter.com,0,False,91117a056e2e76070a468985f0b482382a42f791ead704211d1644b8b87194b2
mintofinance,1,1,twitter.com,0,False,aba56dfc99b4e2a2467bd75f35a51d9efd2dd0eeb478472eadac1d73a8e4eaee
newfi,1,1,twitter.com,0,False,cb1487b55e66a8cc6f1141f460c6d0b2ef847804fe15fc2f69802176b33b80ba
usdtstakingcontract28,1,1,x.com,0,False,161cf06028a9979f51a35374287d6d6933d27c92fd9433282f7373f6636d32e0
utopia,2,1,twitter.com,0,False,47783ad47bdd3130ee1173942685b908e13fc6969fcc99f6bef4f5a79a3022f1
palmswap,1,1,twitter.com,0,False,f39a223dc58ce3fcffccdff63277c149a9b83e2401ebbd06b0dabc2683133178
sut,1,1,twitter.com,0,False,379dfcd9ba9b4c5d2a7b0887728c275c714ac9bece967d28d754d6f50894a17a
wgpt,2,1,twitter.com,0,False,aa3190bfdfa1fadc9310c4995070c4d31c2c4c651a3ecbaf779cda51492c7b3c
btc20,1,1,twitter.com,0,False,22b121acbfcc40154c0f0b48bf818e2f4561667799dd1d2dfb0320f73d3655ca
ehive,1,1,twitter.com,0,False,b90f303b9792c571423fdf6fa220a018f3664860d2b524f62b39f6b38fefc56b
balancer,2,2,blocksecteam.medium.com|medium.com,0,False,2874efeac1f3c130d422c24d482bf435af39a7b71926151d92f622c65c415660
eac,1,1,twitter.com,0,False,bc218962d9ef63f3067269968d51defc1f4697fe5b8bf49c19452d3c3506e6ef
earningfram,1,1,twitter.com,0,False,a3fcad17a2ae54c366de182933eab1c3d9da6f56c4e43f54fcfcae5b1549da60
leetswap,2,1,twitter.com,0,False,d45baeffbd8d4563718fe12155d11b46aa61b423de459a48dc6418be9cc3ee0a
uwerx,3,2,etherscan.io|twitter.com,1,True,543b26507e1d92c59fbbd12c55f643a672513fa1842572a45e2c7fe3007251a1
bfctoken,1,1,twitter.com,0,False,b56ad2e3b4b45b8a6c41e0d11b45ff86503c9df226cf61725c734618e17876c6
floordao,2,2,medium.com|twitter.com,0,False,f2773ef985532853a323b49018a6a4b5179f58faa0047bea333da99ede24e52b
heavensgate,1,1,explorer.phalcon.xyz,1,True,aa049f6cdd223fb06f152c2f09320a78f3fa35c374da4fc053a9b791699527e2
kub_split,1,1,twitter.com,0,False,c9c6d07740584932bd2016947c05ff9461413cd000452d86872ed8c1b51c4b1e
jumpfarm,1,1,twitter.com,0,False,0d0b062e1f0d40d4e6726d6175a56edd8cf39ac6144c15cfeea698f6448ea4c7
quantumwn,1,1,twitter.com,0,False,9fea35e24fa664c421d81962af5106dfdcad6cd39baa4ee715401d096783263a
