case_name,incident_name,protocol_candidate,mechanism_raw,mechanism_candidate,protocol_family,primary_root_cause,confidence,evidence_references
burnsdefi,BurnsDefi,burnsdefi,Price Manipulation,oracle_or_market_manipulation,,,,
bob,Bob,bob,Price Manipulation,oracle_or_market_manipulation,,,,
blueberryprotocol,BlueberryProtocol,blueberryprotocol,logic flaw,business_logic_failure,,,,
deeznutz404,DeezNutz 404,deeznutz,lack of validation,unassigned,,,,
bzx2,bZxProtocol,bzx,Inflation Attack,unassigned,,,,
game,Game,game,Reentrancy && Business Logic Flaw,unassigned,,,,
dualpools,DualPools,dualpools,precision truncation,unassigned,,,,
miner_bsc,MINER,miner_bsc,Price Manipulation,oracle_or_market_manipulation,,,,
particletrade,ParticleTrade,particletrade,lack of validation data,unassigned,,,,
pandora,Pandora,pandora,Integer Underflow,unassigned,,,,
ruggedart,RuggedArt,ruggedart,reentrancy,unassigned,,,,
miner,Miner,miner,lack of validation dst address,unassigned,,,,
seneca,Seneca,seneca,Arbitrary External Call Vulnerability,unassigned,,,,
alp,ALP,alp,Public internal function,unassigned,,,,
ethfin,ETHFIN,ethfin,lack of access control,unassigned,,,,
ark,ARK,ark,business logic flaw,unassigned,,,,
bbt,BBT,bbt,business logic flaw,unassigned,,,,
binemon,Binemon,binemon,precission-loss,unassigned,,,,
juice,Juice,juice,Business Logic Flaw,unassigned,,,,
tgbs,TGBS,tgbs,Business Logic Flaw,unassigned,,,,
atm,ATM,atm,business logic flaw,unassigned,,,,
chaingefinance,ChaingeFinance,chaingefinance,Arbitrary External Call,unassigned,,,,
fil314,FIL314,fil,Insufficient Validation And Price Manipulation,unassigned,,,,
gfa,GFA,gfa,business-logic-flaw,unassigned,,,,
hackathon,Hackathon,hackathon,business logic flaw,unassigned,,,,
hoppyfrogerc,HoppyFrogERC,hoppyfrogerc,business logic flaw,unassigned,,,,
hedgeyfinance,HedgeyFinance,hedgeyfinance,Logic Flaw,business_logic_failure,,,,
ngfs,NGFS,ngfs,Bad Access Control,unassigned,,,,
satx,SATX,satx,Logic Flaw,business_logic_failure,,,,
squid,SQUID,squid,sandwich attack,transaction_ordering_or_mev,,,,
ups,UPS,ups,business logic flaw,unassigned,,,,
openleverage2,OpenLeverage,openleverage,business logic flaw,unassigned,,,,
wsm,wsm,wsm,manipulating price,unassigned,,,,
z123,Z123,z,price manipulation,oracle_or_market_manipulation,,,,
yiedl,YIEDL,yiedl,Input Validation,unassigned,,,,
burner,Burner,burner,sandwich ack,unassigned,,,,
excommunity,EXcommunity,excommunity,Business Logic Flaw,unassigned,,,,
sumermoney,SumerMoney,sumermoney,Reentrancy,unassigned,,,,
metadragon,MetaDragon,metadragon,Lack of Access Control,unassigned,,,,
gpu,GPU,gpu,self transfer,unassigned,,,,
liquiditytokens,Liquiditytokens,liquiditytokens,Business Logic Flaw,unassigned,,,,
redkeyscoin,RedKeysCoin,redkeyscoin,Weak RNG,unassigned,,,,
normie,NORMIE,normie,Business Logic Flaw,unassigned,,,,
osn,OSN,osn,Reward Distribution Problem,unassigned,,,,
tsuru,TSURU,tsuru,Insufficient Validation,unassigned,,,,
apemaga,APEMAGA,apemaga,business logic flaw,unassigned,,,,
crb2,Crb2,crb,business logic flaw,unassigned,,,,
incufi,INcufi,incufi,business logic flaw,unassigned,,,,
ncd,NCD,ncd,Business Logic Flaw,unassigned,,,,
tradeonorion,Tradeonorion,tradeonorion,Business Logic Flaw,unassigned,,,,
dyson_money,Dyson_money,dyson_money,business logic flaw,unassigned,,,,
steamswap,SteamSwap,steamswap,Logic Flaw,business_logic_failure,,,,
wifcoin_eth,WIFCOIN_ETH,wifcoin_eth,business logic flaw,unassigned,,,,
